dt1,dt,im,md,valid
2018-07-13 10:48:55,1531478935,/Volumes/T7/planet/mutale/data/20180713_104855_0f4c/20180713_104855_0f4c_3B_AnalyticMS.tif,/Volumes/T7/planet/mutale/data/20180713_104855_0f4c/20180713_104855_0f4c_3B_AnalyticMS_metadata.xml,TRUE
2018-07-14 08:43:39,1531557819,/Volumes/T7/planet/mutale/data/20180714_084339_1051/20180714_084339_1051_3B_AnalyticMS.tif,/Volumes/T7/planet/mutale/data/20180714_084339_1051/20180714_084339_1051_3B_AnalyticMS_metadata.xml,TRUE
2018-07-17 07:36:39,1531812999,/Volumes/T7/planet/mutale/data/20180717_073639_100c/20180717_073639_100c_3B_AnalyticMS.tif,/Volumes/T7/planet/mutale/data/20180717_073639_100c/20180717_073639_100c_3B_AnalyticMS_metadata.xml,TRUE
2018-07-18 07:36:59,1531899419,/Volumes/T7/planet/mutale/data/20180718_073659_1039/20180718_073659_1039_3B_AnalyticMS.tif,/Volumes/T7/planet/mutale/data/20180718_073659_1039/20180718_073659_1039_3B_AnalyticMS_metadata.xml,TRUE
2018-07-20 08:42:11,1532076131,/Volumes/T7/planet/mutale/data/20180720_084211_0f2d/20180720_084211_0f2d_3B_AnalyticMS.tif,/Volumes/T7/planet/mutale/data/20180720_084211_0f2d/20180720_084211_0f2d_3B_AnalyticMS_metadata.xml,TRUE
2018-07-23 07:38:05,1532331485,/Volumes/T7/planet/mutale/data/20180723_073805_1034/20180723_073805_1034_3B_AnalyticMS.tif,/Volumes/T7/planet/mutale/data/20180723_073805_1034/20180723_073805_1034_3B_AnalyticMS_metadata.xml,TRUE
2018-07-25 07:37:45,1532504265,/Volumes/T7/planet/mutale/data/20180725_073745_1008/20180725_073745_1008_3B_AnalyticMS.tif,/Volumes/T7/planet/mutale/data/20180725_073745_1008/20180725_073745_1008_3B_AnalyticMS_metadata.xml,TRUE
2018-07-25 07:37:46,1532504266,/Volumes/T7/planet/mutale/data/20180725_073746_1008/20180725_073746_1008_3B_AnalyticMS.tif,/Volumes/T7/planet/mutale/data/20180725_073746_1008/20180725_073746_1008_3B_AnalyticMS_metadata.xml,FALSE
2018-07-26 07:35:34,1532590534,/Volumes/T7/planet/mutale/data/20180726_073534_0e20/20180726_073534_0e20_3B_AnalyticMS.tif,/Volumes/T7/planet/mutale/data/20180726_073534_0e20/20180726_073534_0e20_3B_AnalyticMS_metadata.xml,TRUE
2018-07-26 08:42:04,1532594524,/Volumes/T7/planet/mutale/data/20180726_084204_100d/20180726_084204_100d_3B_AnalyticMS.tif,/Volumes/T7/planet/mutale/data/20180726_084204_100d/20180726_084204_100d_3B_AnalyticMS_metadata.xml,FALSE
2018-07-27 07:38:04,1532677084,/Volumes/T7/planet/mutale/data/20180727_073804_1011/20180727_073804_1011_3B_AnalyticMS.tif,/Volumes/T7/planet/mutale/data/20180727_073804_1011/20180727_073804_1011_3B_AnalyticMS_metadata.xml,TRUE
2018-07-27 07:38:05,1532677085,/Volumes/T7/planet/mutale/data/20180727_073805_1011/20180727_073805_1011_3B_AnalyticMS.tif,/Volumes/T7/planet/mutale/data/20180727_073805_1011/20180727_073805_1011_3B_AnalyticMS_metadata.xml,TRUE
2018-07-29 07:38:35,1532849915,/Volumes/T7/planet/mutale/data/20180729_073835_1014/20180729_073835_1014_3B_AnalyticMS.tif,/Volumes/T7/planet/mutale/data/20180729_073835_1014/20180729_073835_1014_3B_AnalyticMS_metadata.xml,FALSE
2018-07-30 08:41:35,1532940095,/Volumes/T7/planet/mutale/data/20180730_084135_0f46/20180730_084135_0f46_3B_AnalyticMS.tif,/Volumes/T7/planet/mutale/data/20180730_084135_0f46/20180730_084135_0f46_3B_AnalyticMS_metadata.xml,TRUE
2018-08-01 08:41:04,1533112864,/Volumes/T7/planet/mutale/data/20180801_084104_0f36/20180801_084104_0f36_3B_AnalyticMS.tif,/Volumes/T7/planet/mutale/data/20180801_084104_0f36/20180801_084104_0f36_3B_AnalyticMS_metadata.xml,TRUE
